countryCode;locale;countryName;ibanLength;pattern;exampleIBAN;notes;isActive
AT;en;Austria;20;;AT611904300234573201;Austria - 20 characters;true
AT;de;Österreich;20;;AT611904300234573201;Österreich - 20 Zeichen;true
BE;en;Belgium;16;;BE68539007547034;Belgium - 16 characters;true
BE;de;Belgien;16;;BE68539007547034;Belgien - 16 Zeichen;true
BG;en;Bulgaria;22;;BG80BNBG96611020345678;Bulgaria - 22 characters;true
BG;de;Bulgarien;22;;BG80BNBG96611020345678;Bulgarien - 22 Zeichen;true
HR;en;Croatia;21;;HR1210010051863000160;Croatia - 21 characters;true
HR;de;Kroatien;21;;HR1210010051863000160;Kroatien - 21 Zeichen;true
CY;en;Cyprus;28;;CY17002001280000001200527600;Cyprus - 28 characters;true
CY;de;Zypern;28;;CY17002001280000001200527600;Zypern - 28 Zeichen;true
CZ;en;Czech Republic;24;;CZ6508000000192000145399;Czech Republic - 24 characters;true
CZ;de;Tschechische Republik;24;;CZ6508000000192000145399;Tschechien - 24 Zeichen;true
DE;en;Germany;22;;DE89370400440532013000;Germany - 22 characters;true
DE;de;Deutschland;22;;DE89370400440532013000;Deutschland - 22 Zeichen;true
DK;en;Denmark;18;;DK5000400440116243;Denmark - 18 characters;true
DK;de;Dänemark;18;;DK5000400440116243;Dänemark - 18 Zeichen;true
EE;en;Estonia;20;;EE382200221020145685;Estonia - 20 characters;true
EE;de;Estland;20;;EE382200221020145685;Estland - 20 Zeichen;true
ES;en;Spain;24;;ES9121000418450200051332;Spain - 24 characters;true
ES;de;Spanien;24;;ES9121000418450200051332;Spanien - 24 Zeichen;true
FI;en;Finland;18;;FI2112345600000785;Finland - 18 characters;true
FI;de;Finnland;18;;FI2112345600000785;Finnland - 18 Zeichen;true
FR;en;France;27;;FR1420041010050500013M02606;France - 27 characters;true
FR;de;Frankreich;27;;FR1420041010050500013M02606;Frankreich - 27 Zeichen;true
GR;en;Greece;27;;GR1601101250000000012300695;Greece - 27 characters;true
GR;de;Griechenland;27;;GR1601101250000000012300695;Griechenland - 27 Zeichen;true
HU;en;Hungary;28;;HU42117730161111101800000000;Hungary - 28 characters;true
HU;de;Ungarn;28;;HU42117730161111101800000000;Ungarn - 28 Zeichen;true
IE;en;Ireland;22;;IE29AIBK93115212345678;Ireland - 22 characters;true
IE;de;Irland;22;;IE29AIBK93115212345678;Irland - 22 Zeichen;true
IT;en;Italy;27;;IT60X0542811101000000123456;Italy - 27 characters;true
IT;de;Italien;27;;IT60X0542811101000000123456;Italien - 27 Zeichen;true
LT;en;Lithuania;20;;LT121000011101001000;Lithuania - 20 characters;true
LT;de;Litauen;20;;LT121000011101001000;Litauen - 20 Zeichen;true
LU;en;Luxembourg;20;;LU280019400644750000;Luxembourg - 20 characters;true
LU;de;Luxemburg;20;;LU280019400644750000;Luxemburg - 20 Zeichen;true
LV;en;Latvia;21;;LV80BANK0000435195001;Latvia - 21 characters;true
LV;de;Lettland;21;;LV80BANK0000435195001;Lettland - 21 Zeichen;true
MT;en;Malta;31;;MT84MALT011000012345MTLCAST001S;Malta - 31 characters;true
MT;de;Malta;31;;MT84MALT011000012345MTLCAST001S;Malta - 31 Zeichen;true
NL;en;Netherlands;18;;NL91ABNA0417164300;Netherlands - 18 characters;true
NL;de;Niederlande;18;;NL91ABNA0417164300;Niederlande - 18 Zeichen;true
PL;en;Poland;28;;PL61109010140000071219812874;Poland - 28 characters;true
PL;de;Polen;28;;PL61109010140000071219812874;Polen - 28 Zeichen;true
PT;en;Portugal;25;;PT50000201231234567890154;Portugal - 25 characters;true
PT;de;Portugal;25;;PT50000201231234567890154;Portugal - 25 Zeichen;true
RO;en;Romania;24;;RO49AAAA1B31007593840000;Romania - 24 characters;true
RO;de;Rumänien;24;;RO49AAAA1B31007593840000;Rumänien - 24 Zeichen;true
SE;en;Sweden;24;;SE4550000000058398257466;Sweden - 24 characters;true
SE;de;Schweden;24;;SE4550000000058398257466;Schweden - 24 Zeichen;true
SI;en;Slovenia;19;;SI56263300012039086;Slovenia - 19 characters;true
SI;de;Slowenien;19;;SI56263300012039086;Slowenien - 19 Zeichen;true
SK;en;Slovakia;24;;SK3112000000198742637541;Slovakia - 24 characters;true
SK;de;Slowakei;24;;SK3112000000198742637541;Slowakei - 24 Zeichen;true
GB;en;United Kingdom;22;;GB29NWBK60161331926819;United Kingdom - 22 characters;true
GB;de;Großbritannien;22;;GB29NWBK60161331926819;Großbritannien - 22 Zeichen;true
CH;en;Switzerland;21;;CH9300762011623852957;Switzerland - 21 characters;true
CH;de;Schweiz;21;;CH9300762011623852957;Schweiz - 21 Zeichen;true
NO;en;Norway;15;;NO9386011117947;Norway - 15 characters;true
NO;de;Norwegen;15;;NO9386011117947;Norwegen - 15 Zeichen;true
