ID;locale;ruleName;ruleCode;status;sourceSystem;entityType;requestType;validationType;targetEntity;targetField;validationRule;validationValue;errorMessage;errorSeverity;blockSubmission;priority;isActive;category;businessRule;examples
1;en;Partner Name Required;REQ_PARTNER_NAME;;;;Create;Field;BusinessPartnerRequests;partnerName;Required;;Partner name is required;Error;true;10;true;Basic;Partner name must be provided for all requests;
2;de;Partnername erforderlich;REQ_PARTNER_NAME;;;;Create;Field;BusinessPartnerRequests;partnerName;Required;;Partnername ist erforderlich;Error;true;10;true;Basic;Partnername muss für alle Anfragen angegeben werden;
3;en;Partner Name Min Length;MIN_PARTNER_NAME;New;;;Create;Field;BusinessPartnerRequests;partnerName;MinLength;3;Partner name must be at least 3 characters;Error;true;20;true;Basic;Ensures partner names are meaningful and not just initials;ABC Corp, XYZ Ltd
4;de;Partnername Mindestlänge;MIN_PARTNER_NAME;New;;;Create;Field;BusinessPartnerRequests;partnerName;MinLength;3;Partnername muss mindestens 3 Zeichen lang sein;Error;true;20;true;Basic;Stellt sicher, dass Partnernamen aussagekräftig sind und nicht nur aus Initialen bestehen;ABC Corp, XYZ Ltd
5;en;Entity Type Required;REQ_ENTITY_TYPE;Submitted;;;Create;Field;BusinessPartnerRequests;entityType;Required;;Entity type (Supplier/Customer/Both) is required for submission;Error;true;10;true;Basic;Determines which SAP roles to create;Supplier, Customer, Both
6;de;Entitätstyp erforderlich;REQ_ENTITY_TYPE;Submitted;;;Create;Field;BusinessPartnerRequests;entityType;Required;;Entitätstyp (Lieferant/Kunde/Beide) ist für die Einreichung erforderlich;Error;true;10;true;Basic;Bestimmt, welche SAP-Rollen erstellt werden sollen;Supplier, Customer, Both
7;en;Source System Required;REQ_SOURCE_SYSTEM;;;;;;;Field;BusinessPartnerRequests;sourceSystem;Required;;Source system is required;Error;true;10;true;Basic;Tracks origin of request for integration;Coupa, Salesforce, Manual, PI
8;de;Quellsystem erforderlich;REQ_SOURCE_SYSTEM;;;;;;;Field;BusinessPartnerRequests;sourceSystem;Quellsystem ist erforderlich;;Source system is required;Error;true;10;Verfolgt den Ursprung der Anfrage für die Integration;Basic;Tracks origin of request for integration;Coupa, Salesforce, Manual, PI
9;en;Request Type Required;REQ_REQUEST_TYPE;New;;;;;Field;BusinessPartnerRequests;requestType;Required;;Request type (Create/Update) is required;Error;true;10;true;Basic;Determines workflow logic;Create, Update
10;de;Anfragetyp erforderlich;REQ_REQUEST_TYPE;New;;;;;Field;BusinessPartnerRequests;requestType;Required;Anfragetyp (Erstellen/Aktualisieren) ist erforderlich;Request type (Create/Update) is required;Error;true;10;true;Bestimmt die Workflow-Logik;Determines workflow logic;Create, Update
11;en;Address Name Required;REQ_ADDR_NAME;Submitted;;;Create;Field;PartnerAddresses;name1;Required;;Address name is required for submission;Error;true;30;true;Address;Primary address line;Company Name GmbH
12;de;Adressname erforderlich;REQ_ADDR_NAME;Submitted;;;Create;Field;PartnerAddresses;name1;Required;;Adressname ist für die Einreichung erforderlich;Error;true;30;true;Address;Primäre Adresszeile;Company Name GmbH
